energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0000.root,1000000,122269,124975,128247,79875,73059,82878,67784,0.122269,0.124975,0.128247,0.067784
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0001.root,1000000,123183,125621,127826,80162,73320,82984,68027,0.123183,0.125621,0.127826,0.068027
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0002.root,1000000,124248,126276,128601,80794,74255,83680,68879,0.124248,0.126276,0.128601,0.068879
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0003.root,1000000,123357,125571,128641,80306,73574,82916,68031,0.123357,0.125571,0.128641,0.068031
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0004.root,1000000,123506,125328,128273,80531,73720,82907,68281,0.123506,0.125328,0.128273,0.068281
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0005.root,1000000,123753,125494,128651,80500,73922,82834,68342,0.123753,0.125494,0.128651,0.068342
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0006.root,1000000,93307,94582,97208,58764,53535,60310,49675,0.093307,0.094582,0.097208,0.049675
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0007.root,1000000,123819,126712,129431,81109,74326,83856,69034,0.123819,0.126712,0.129431,0.069034
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0008.root,1000000,121108,124806,126747,79233,72243,81993,67164,0.121108,0.124806,0.126747,0.067164
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0009.root,1000000,123430,126442,129051,80673,73824,83450,68565,0.12343,0.126442,0.129051,0.068565
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0010.root,1000000,123613,126904,128412,80825,73690,83466,68555,0.123613,0.126904,0.128412,0.068555
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0011.root,1000000,85484,87740,90466,53331,48709,55450,45219,0.085484,0.08774,0.090466,0.045219
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0012.root,34781,385,394,511,8,1,7,1,0.011069261953365344,0.01132802392110635,0.014691929501739455,2.875132974900089e-05
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0000.root,1000000,103504,99653,106777,55705,50135,53383,46073,0.103504,0.099653,0.106777,0.046073
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0001.root,1000000,100712,97608,104617,54243,48613,51885,44685,0.100712,0.097608,0.104617,0.044685
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0002.root,1000000,104695,100707,108096,56725,51070,54299,46924,0.104695,0.100707,0.108096,0.046924
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0003.root,1000000,105033,100610,108106,56755,50855,54194,46807,0.105033,0.10061,0.108106,0.046807
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0004.root,1000000,103531,99133,106720,55847,50148,53225,46051,0.103531,0.099133,0.10672,0.046051
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0005.root,1000000,104534,100544,107293,56519,50793,53916,46641,0.104534,0.100544,0.107293,0.046641
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0006.root,1000000,102318,98776,105789,55272,49564,52940,45601,0.102318,0.098776,0.105789,0.045601
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0007.root,1000000,110932,106307,112988,60435,54127,57341,49717,0.110932,0.106307,0.112988,0.049717
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0008.root,1000000,110965,106841,112912,60658,54245,57564,49861,0.110965,0.106841,0.112912,0.049861
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0009.root,1000000,110136,106918,112791,60400,54016,57427,49621,0.110136,0.106918,0.112791,0.049621
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0010.root,1000000,110649,107274,112949,60494,54094,57669,49730,0.110649,0.107274,0.112949,0.04973
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0011.root,1000000,110706,106931,112742,60525,54170,57640,49811,0.110706,0.106931,0.112742,0.049811
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0012.root,1000000,107474,102732,109501,58083,52126,55225,47871,0.107474,0.102732,0.109501,0.047871
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0013.root,1000000,104412,100069,106748,56667,50577,53754,46538,0.104412,0.100069,0.106748,0.046538
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0014.root,1000000,109445,105298,111761,59557,53447,56746,49040,0.109445,0.105298,0.111761,0.04904
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0015.root,1000000,109542,105255,111256,59454,53435,56584,49062,0.109542,0.105255,0.111256,0.049062
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0016.root,1000000,110191,106388,112561,60228,53829,57442,49630,0.110191,0.106388,0.112561,0.04963
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0017.root,1000000,108525,104689,111894,59288,53249,56720,48860,0.108525,0.104689,0.111894,0.04886
