energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0000.root,10000,281,313,386,134,124,137,117,0.0281,0.0313,0.0386,0.0117
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0001.root,10000,1419,1475,1462,975,883,1009,822,0.1419,0.1475,0.1462,0.0822
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0002.root,10000,1537,1591,1618,1038,956,1074,884,0.1537,0.1591,0.1618,0.0884
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0003.root,10000,1586,1567,1585,1052,958,1066,884,0.1586,0.1567,0.1585,0.0884
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0004.root,10000,1502,1526,1539,1011,917,1032,851,0.1502,0.1526,0.1539,0.0851
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0005.root,10000,1489,1559,1553,1004,933,1053,867,0.1489,0.1559,0.1553,0.0867
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0006.root,10000,1551,1542,1485,1016,880,999,825,0.1551,0.1542,0.1485,0.0825
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0007.root,10000,442,422,448,224,202,217,184,0.0442,0.0422,0.0448,0.0184
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0008.root,10000,450,449,512,239,210,243,196,0.045,0.0449,0.0512,0.0196
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0009.root,10000,1547,1566,1594,1029,940,1049,871,0.1547,0.1566,0.1594,0.0871
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0010.root,10000,1492,1571,1600,1006,941,1063,866,0.1492,0.1571,0.16,0.0866
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0011.root,10000,991,1015,1025,616,561,652,526,0.0991,0.1015,0.1025,0.0526
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0012.root,10000,120,110,136,3,1,1,1,0.012,0.011,0.0136,0.0001
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0000.root,10000,1234,1179,1233,678,601,626,543,0.1234,0.1179,0.1233,0.0543
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0001.root,10000,299,291,347,98,85,96,80,0.0299,0.0291,0.0347,0.008
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0002.root,10000,1208,1177,1226,662,597,637,543,0.1208,0.1177,0.1226,0.0543
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0003.root,10000,1254,1168,1230,681,608,645,553,0.1254,0.1168,0.123,0.0553
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0004.root,10000,1201,1166,1279,677,601,643,561,0.1201,0.1166,0.1279,0.0561
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0005.root,10000,770,712,823,393,362,379,331,0.077,0.0712,0.0823,0.0331
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0006.root,10000,1216,1123,1209,687,611,640,559,0.1216,0.1123,0.1209,0.0559
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0007.root,10000,1268,1193,1250,695,624,660,568,0.1268,0.1193,0.125,0.0568
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0008.root,10000,1174,1231,1275,669,592,660,550,0.1174,0.1231,0.1275,0.055
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0009.root,10000,1216,1161,1243,652,593,643,550,0.1216,0.1161,0.1243,0.055
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0010.root,10000,1257,1173,1261,676,606,655,556,0.1257,0.1173,0.1261,0.0556
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0011.root,10000,1213,1203,1276,704,615,657,569,0.1213,0.1203,0.1276,0.0569
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0012.root,10000,1188,1152,1228,673,598,638,562,0.1188,0.1152,0.1228,0.0562
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0013.root,10000,1210,1141,1264,662,602,644,546,0.121,0.1141,0.1264,0.0546
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0014.root,10000,1232,1185,1237,687,604,651,550,0.1232,0.1185,0.1237,0.055
