energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0000.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0001.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0002.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0003.root,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0004.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0005.root,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0006.root,1,0,1,1,0,0,1,0,0.0,1.0,1.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0007.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0008.root,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0009.root,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0
100GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100630/sndsw_raw-0010.root,1,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
